| name   | type | adr  | bit  | descr                                          |
| ------ | ---- | ---- | ---- | ---------------------------------------------- |
| BRK    | BOOL | 0    | 0    | =1 – активна тривога обриву (+ BAD)            |
| OVRLD  | BOOL | 0    | 1    | =1 – активна тривога КЗ (+ BAD)                |
| BAD    | BOOL | 0    | 2    | =1 – дані недостовірні                         |
| ALDIS  | BOOL | 0    | 3    | =1 – тривога тимчасово виведена з експлуатації |
| DLNK   | BOOL | 0    | 4    | =1 – якщо прив’язаний до каналу                |
| ENBL   | BOOL | 0    | 5    | =1 – змінна задіяна = (NOT PRM.7 AND  DLNK)    |
| ALM    | BOOL | 0    | 6    | =1 – активна технологічна тривога              |
| LOLO   | BOOL | 0    | 7    | =1 – активна тривога LOLO (+ALM)               |
| LO     | BOOL | 0    | 8    | =1 – активна тривога LO (+WRN)                 |
| HI     | BOOL | 0    | 9    | =1 – активна тривога HI (+WRN)                 |
| HIHI   | BOOL | 0    | 10   | =1 – активна тривога HIHI (+ALM)               |
| WRN    | BOOL | 0    | 11   | =1 – активне технологічне попередження         |
| INBUF  | BOOL | 0    | 12   | =1 – змінна в буфері                           |
| FRC    | BOOL | 0    | 13   | =1 – змінна в режимі форсування                |
| SML    | BOOL | 0    | 14   | =1 – змінна в режимі симуляції                 |
| CMDBUF | BOOL | 0    | 15   | =1 – команда завантаження в буфер              |
