| name        | type | adr  | bit  | descr                                                        |
| ----------- | ---- | ---- | ---- | ------------------------------------------------------------ |
| ID          | UINT | 0    |      | Унікальний ідентифікатор AOVAR_STA                           |
| CLSID       | UINT | 1    |      | 16#1040                                                      |
| STA         | INT  | 2    |      | статус                                                       |
| RVAL        | INT  | 3    |      | сирі значення                                                |
| VAL         | REAL | 4    |      | масштабоване значення                                        |
| PRM         | UINT | 6    |      | біти параметрів                                              |
| PRMb0       | BOOL | 6    | 0    | резерв                                                       |
| PRMb1       | BOOL | 6    | 1    | резерв                                                       |
| PRMb2       | BOOL | 6    | 2    | резерв                                                       |
| PRMb3       | BOOL | 6    | 3    | резерв                                                       |
| PRMb4       | BOOL | 6    | 4    | резерв                                                       |
| PRMb5       | BOOL | 6    | 5    | резерв                                                       |
| PRM_QALENBL | BOOL | 6    | 6    | =1 – задіяти тривогу недостовірності каналу                  |
| PRM_DSBL    | BOOL | 6    | 7    | =1 – змінна не задіяна                                       |
| PRM_PWLENBL | BOOL | 6    | 8    | =1 – задіяна кусочно-лінійна інтерполяція (не використовувати разом з TOTALON) |
| PRMb9       | BOOL | 6    | 9    | резерв                                                       |
| PRMb10      | BOOL | 6    | 10   | резерв                                                       |
| PRMb11      | BOOL | 6    | 11   | резерв                                                       |
| PRMb12      | BOOL | 6    | 12   | резерв                                                       |
| PRMb13      | BOOL | 6    | 13   | резерв                                                       |
| PRMb14      | BOOL | 6    | 14   | резерв                                                       |
| PRMb15      | BOOL | 6    | 15   | резерв                                                       |
| CHID        | UINT | 7    |      | Логічний номер вихідного аналогового каналу CH               |
| LORAW       | INT  | 8    |      | Сире (немасштабоване) значення мінімуму                      |
| HIRAW       | INT  | 9    |      | Сире (немасштабоване) значення максимуму                     |
| LOENG       | REAL | 10   |      | Інженерне (масштабоване) значення мінімуму                   |
| HIENG       | REAL | 12   |      | Інженерне (масштабоване) значення максимуму                  |
| MVAL        | REAL | 14   |      | ручне(форсоване) значення                                    |
| KFLT        | REAL | 16   |      | Коефіцієнт фільтрації для експоненціального фільтру (0.0-1.0, 0.0 – не фільтрувати), орієнтована дискретність 100 мс |
| STEP1       | UINT | 18   |      | крок                                                         |
| TSTEP1      | UINT | 19   |      | Час кроку в 0.1 секундах                                     |
