| name    | type | adr  | bit  | descr                                                        |
| ------- | ---- | ---- | ---- | ------------------------------------------------------------ |
| ID      | UINT | 0    |      | Унікальний ідентифікатор - номер змінної. Кількість доступних каналів є останнім номером. Нумерація логічна, логіка нумерації вибирається при розробці проекту.ID = 0 зарезервований для помилкових операцій. Реальні канали нумеруються з 1. |
| CLSID   | UINT | 1    |      | - `CHDI` (CLSID=16#001x) – дискретні вхідні канали,- `CHDO` (CLSID=16#002x) – дискретні вихідні канали; - `CHAI` (CLSID=16#003x) – аналогові вхідні канали;- `CHAO` (CLSID=16#004x) – аналогові вихідні канали. |
| STA     | UINT | 2    |      | Може бути набір біт типу `CH_STA`                            |
| VRAW    | BOOL | 2    | 0    | для дискретного сигналу: - для `CHDI` значення з дискретного входу; - для `CHDO` значення на дискретний вихід; - в режимі `FRC=1` може змінюватися із-зовні для `CHDO`; для CHAI: `RAWINT>0`; для CHAO: `RAWINT>0` |
| VAL     | BOOL | 2    | 1    | значення дискретного сигналу для CM верхнього рівня: - для `CHDI` об'єкт `DIVAR` зчитує його; - для `CHDO` об'єкт `DOVAR` записує в нього; - в режимі `FRC=1` може змінюватися із-зовні для `CHDI`; для CHAI: `CHCFG.VAL>0`; для CHAO: `CHCFG.VAL>0` |
| BAD     | BOOL | 2    | 2    | = 1 – є якась помилка каналу (`BRK` або `SHRT` або інша)     |
| b3      | BOOL | 2    | 3    | резерв                                                       |
| PNG     | BOOL | 2    | 4    | = 1 – прийшов PING-запит від власника, обнуляється каналом (PONG-відповідь) |
| ULNK    | BOOL | 2    | 5    | = 1 – якщо канал використовується в технологічній змінній (прив'язаний) DIVAR/AIVAR/DOVAR/AOVAR |
| MERR    | BOOL | 2    | 6    | = 1 – є помилка на всьому модулі (діагностична інформація)   |
| BRK     | BOOL | 2    | 7    | = 1 – помилка обриву каналу                                  |
| SHRT    | BOOL | 2    | 8    | = 1 – помилка КЗ або перевантаження                          |
| NBD     | BOOL | 2    | 9    | = 1 – фізично канал не існує; наприклад, для відображення в буфері модуля MODULS для HMI; якщо зручно використовувати неіснуючі канали для кратності адресації |
| STAb10  | BOOL | 2    | 10   | резерв                                                       |
| STAb11  | BOOL | 2    | 11   | резерв                                                       |
| INBUF   | BOOL | 2    | 12   | = 1 – змінна `CH`завантажена в буфер `CH_BUF`                |
| FRC     | BOOL | 2    | 13   | = 1 – значення форсоване                                     |
| SML     | BOOL | 2    | 14   | = 1 – значення імітується (верхнім рівнем)                   |
| CMDLOAD | BOOL | 2    | 15   | =1 - запит на зчитування в буфер (тільки з HMI)              |
| CMD     | UINT | 3    |      | команда:16#1 - записати 1/MAX; 16#2 - записати 0/MIN;16#3 - для дискретних змінних: TOGGLE перемикання 0<->1; 16#3 - для аналогових змінних: MIDLE виставлення половини з діапазону MIN/MAX; 16#0100 - прочитати конфігурацію в буфер; 16#301 - форсувати один/усі об'єкти типу; 16#302 - дефорсувати один/усі об'єкти типу; 16#0300 - перемкнути форсування |
| VALI    | INT  | 4    |      | значення: - для `CHAI` значення з аналогового входу для `AIVAR`;- для `CHAO` значення на аналоговий вихід з `AOVAR`;- для `CHDI` = значенню `STA.VAL`;- для `CHDO` = значенню `STA.VAL` |
| VARID   | UINT | 5    |      | ID прив'язаної технологічної змінної, 0 - якщо не прив'язана |
