| name        | type  | adr  | bit  | Опис                                                         |
| ----------- | ----- | ---- | ---- | ------------------------------------------------------------ |
| ID          | UINT  | 0    |      | Унікальний ідентифікатор                                     |
| CLSID       | UINT  | 1    |      | 16#1010                                                      |
| STA         | UINT  | 2    |      | статус, призначення біт як `DIVAR_STA` може бути задіяна як аналогічна структура |
| VALI        | INT   | 3    |      | для відображення значення при не форсуванні; використовується для введення значення з буфера при форсуванні?? (перевірити можливість зміни без цього поля) |
| PRM         | UINT  | 4    |      | параметри конфігурації, повинні зберігатися при відключеному живленні |
| PRM_ISALM   | BOOL  | 4    | 0    | =1 – задіяти як аварійну тривогу                             |
| PRM_ISWRN   | BOOL  | 4    | 1    | =1 – задіяти як попереджувальну тривогу                      |
| PRM_INVERSE | BOOL  | 4    | 2    | =1 – інвертувати сире значення                               |
| PRMb3       | BOOL  | 4    | 3    |                                                              |
| PRMb4       | BOOL  | 4    | 4    |                                                              |
| PRM_NRMVAL  | BOOL  | 4    | 5    | значення норми                                               |
| PRM_QALENBL | BOOL  | 4    | 6    | =1 – задіяти тривогу недостовірності каналу                  |
| PRM_DSBL    | BOOL  | 4    | 7    | =1 – змінна не задіяна                                       |
| PRMb8       | BOOL  | 4    | 8    |                                                              |
| PRMb9       | BOOL  | 4    | 9    |                                                              |
| PRMb10      | BOOL  | 4    | 10   |                                                              |
| PRMb11      | BOOL  | 4    | 11   |                                                              |
| PRMb12      | BOOL  | 4    | 12   |                                                              |
| PRMb13      | BOOL  | 4    | 13   |                                                              |
| PRMb14      | BOOL  | 4    | 14   |                                                              |
| PRMb15      | BOOL  | 4    | 15   |                                                              |
| CHID        | UINT  | 5    |      | Логічний номер дискретного каналу, до якого прив'язана змінна, 0 - немає прив'язки |
| STEP1       | UINT  | 6    |      | номер кроку                                                  |
| T_DEASP     | UINT  | 7    |      | Час затримки тривоги в секундах                              |
| T_FLTSP     | UINT  | 8    |      | Заданий час фільтрації в мілісекундах                        |
| CHIDDF      | UINT  | 9    |      | Логічний номер дискретного каналу за замовченням             |
| T_STEP1     | UDINT | 10   |      | Плинний час кроку в мс                                       |
| T_PREV      | UDINT | 12   |      | час в мс з попереднього виклику, береться зі структури PLC_CFG.TQMS |
