| name    | type | adr  | bit  | descr                                                        |
| ------- | ---- | ---- | ---- | ------------------------------------------------------------ |
| VRAW    | BOOL | 0    | 0    | =1 – значення дискретного сигналу з DICH                     |
| VAL     | BOOL | 0    | 1    | =1 – значення дискретної вхідної змінної після всіх перетворень, в режимі FRC=1 може змінюватися із-зовні |
| BAD     | BOOL | 0    | 2    | =1 – дані недостовірні                                       |
| ALDIS   | BOOL | 0    | 3    | =1 – тривога тимчасово виведена з експлуатації               |
| DLNK    | BOOL | 0    | 4    | =1 – якщо прив’язаний до каналу                              |
| ENBL    | BOOL | 0    | 5    | =1 – змінна задіяна  = (NOT PRM.DSBL AND  DLNK)              |
| ALM     | BOOL | 0    | 6    | =1 – активна аварійна тривога                                |
| VALPRV  | BOOL | 0    | 7    | значення на попередньому циклі                               |
| STAb8   | BOOL | 0    | 8    | резерв                                                       |
| ISALM   | BOOL | 0    | 9    | дублює аналогічний з PRM (для зручності анімації)            |
| ISWRN   | BOOL | 0    | 10   | дублює аналогічний з PRM (для зручності анімації)            |
| WRN     | BOOL | 0    | 11   | =1 – активне попереджувальна тривога                         |
| INBUF   | BOOL | 0    | 12   | =1 – змінна в буфері                                         |
| FRC     | BOOL | 0    | 13   | =1 – змінна в режимі форсування                              |
| SML     | BOOL | 0    | 14   | =1 – змінна в режимі симуляції                               |
| CMDLOAD | BOOL | 0    | 15   | =1 – команда завантаження в буфер                            |
