| name   | type | adr  | bit  | descr                                                        |
| ------ | ---- | ---- | ---- | ------------------------------------------------------------ |
| VRAW   | BOOL | 0    | 0    | =1 – значення дискретного сигналу з DOCH                     |
| VAL    | BOOL | 0    | 1    | =1 – значення дискретної вихідної змінної після всіх перетворень, в режимі FRC=1 може змінюватися із-зовні |
| BAD    | BOOL | 0    | 2    | =1 – дані недостовірні                                       |
| STAb3  | BOOL | 0    | 3    |                                                              |
| DLNK   | BOOL | 0    | 4    | =1 – якщо прив’язаний до каналу                              |
| ENBL   | BOOL | 0    | 5    | =1 – змінна задіяна  = (NOT PRM.7 AND  DLNK)                 |
| STAb6  | BOOL | 0    | 6    |                                                              |
| VALPRV | BOOL | 0    | 7    | значення на попередньому циклі                               |
| STAb8  | BOOL | 0    | 8    |                                                              |
| MVAL   | BOOL | 0    | 9    | =1 – ручне (форсоване) значення                              |
| STAb10 | BOOL | 0    | 10   |                                                              |
| STAb11 | BOOL | 0    | 11   |                                                              |
| INBUF  | BOOL | 0    | 12   | =1 – змінна в буфері                                         |
| FRC    | BOOL | 0    | 13   | =1 – змінна в режимі форсування                              |
| SML    | BOOL | 0    | 14   | =1 – змінна в режимі симуляції                               |
| CMDBUF | BOOL | 0    | 15   | =1 – команда завантаження в буфер                            |
