| name        | type               | adr  | bit  | descr                                                        |
| ----------- | ------------------ | ---- | ---- | ------------------------------------------------------------ |
| ID          | UINT               | 0    |      | Унікальний ідентифікатор, наприклад для ідентифікації PLC    |
| CLSID       | UINT               | 1    |      | 16#21xx                                                      |
| STA         | UINT               | 2    |      | Може бути набір біт типу PLC_STA                             |
| ACON2ERR    | BOOL               | 2    | 0    | =1 - є помилка звязку з сусідні ПЛК в парі (для теплого резерування) |
| APLC2STOP   | BOOL               | 2    | 1    | =1 - спарений ПЛК в стопі (для теплого резерування)          |
| BLK         | BOOL               | 2    | 2    | =1 – є хоча б один заблокований ВМ                           |
| ALDIS       | BOOL               | 2    | 3    | =1 – є хоча б одна відключена тривога                        |
| DIOON       | BOOL               | 2    | 4    | =1 - йде опитування по мережі (MODBUS або аналогічній) засобів віддаленого вводу/виводу |
| DIOERR      | BOOL               | 2    | 5    | =1 - є помилка на DIO                                        |
| stab6       | BOOL               | 2    | 6    | резерв                                                       |
| FRC         | BOOL               | 2    | 7    | =1 – хоча б одна змінна форсована (або ручний режим) на будь якому рівні |
| SMLALL      | BOOL               | 2    | 8    | =1 – все в режимі в імітації, примушує усі CM перейти в режим імітації |
| DISP        | BOOL               | 2    | 9    | =1 – хоча б один елемент в режимі ручного управління         |
| FRC2        | BOOL               | 2    | 10   | =1 – є хоча б один форсований керівний елемент (рівня 2), клапан, двигун |
| FRC1        | BOOL               | 2    | 11   | =1 – хоча б одна змінна форсована (рівня 1)                  |
| SCN1        | BOOL               | 2    | 12   | =1 – перший скан                                             |
| FRC0        | BOOL               | 2    | 13   | =1 – хоча б одна змінна форсована (рівня 0)                  |
| SML         | BOOL               | 2    | 14   | =1 – хоча б один об’єкт в режимі імітації                    |
| CMDACK      | BOOL               | 2    | 15   | =0 - підтвердження команди, команда пройшла через весь цикл задачі і отримана усіма |
| CMD         | UINT               | 3    |      | Команди з HMI:16#0100 – прочитати конфігурацію;16#0101 – записати конфігурацію; 16#0111 – синхронізувати час з верхнім рівнем; 16#0301 – вимкнути сирену; 16#0302 – увімкнути сирену; 16#4101 – записати конфігурація за замовченням для усіх змінних DIVAR; 16#4102 – записати конфігурація за замовченням для усіх змінних AIVAR; 16#4103 – записати конфігурація за замовченням для усіх змінних DOVAR; 16#4104 – записати конфігурація за замовченням для усіх змінних AOVAR;16#4301 – форсувати всі об'єкти LVL0; 16#4302 – дефорсувати всі об'єкти LVL0;16#4303 – форсувати всі об'єкти LVL1;16#4304 – дефорсувати всі об'єкти LVL1 |
| CMDPRG      | UINT               | 4    |      | Команди з програмного керування (побітові)                   |
| PRM1        | UINT               | 5    |      | дискретні параметри (проектно залежні)                       |
| PRM2        | UINT               | 6    |      | дискретні параметри (проектно залежні)                       |
| PLS         | UINT               | 7    |      | Може бути набір біт типу PLS                                 |
| P100MS      | BOOL               | 7    | 0    | імпульс на один цикл основної задачі з періодичністю 100 мс (адекватно працюватиме тільки для циклів <50ms) |
| P200MS      | BOOL               | 7    | 1    | 200 мс (адекватно працюватиме тільки для циклів <100ms)      |
| P500MS      | BOOL               | 7    | 2    | 500 мс (адекватно працюватиме тільки для циклів <250ms)      |
| P1S         | BOOL               | 7    | 3    | 1 с                                                          |
| P2S         | BOOL               | 7    | 4    | 2 с                                                          |
| P5S         | BOOL               | 7    | 5    | 5 с                                                          |
| P10S        | BOOL               | 7    | 6    | 10 с                                                         |
| P60S        | BOOL               | 7    | 7    | 1 хв                                                         |
| M1S         | BOOL               | 7    | 8    | меандр з періодом 1 с (0.5 с + 0.5 с)                        |
| M2S         | BOOL               | 7    | 9    | меандр з періодом 2 с (1 с + 1 с)                            |
| plsb10      | BOOL               | 7    | 10   | резерв                                                       |
| plsb11      | BOOL               | 7    | 11   | резерв                                                       |
| NEWMIN      | BOOL               | 7    | 12   | =1 (на один цикл основної задачі) – початок хвилини          |
| NEWHR       | BOOL               | 7    | 13   | =1 (на один цикл основної задачі) – початок години           |
| NEWDAY      | BOOL               | 7    | 14   | =1 (на один цикл основної задачі) – початок доби             |
| NEWSHIFT    | BOOL               | 7    | 15   | =1 (на один цикл основної задачі) – початок зміни            |
| ALM1        | INT                | 8    |      | Може бути типу PLC_ALM1                                      |
| ALM         | BOOL               | 8    | 0    | =1, є хоча б одна тривога аварійного рівня                   |
| NWALM       | BOOL               | 8    | 1    | =1, нова тривога аварійного рівня                            |
| ALMNACK     | BOOL               | 8    | 2    | =1, є неквітовані тривоги                                    |
| WRN         | BOOL               | 8    | 3    | =1, є хоча б одна тривога попереджувального рівня            |
| NWWRN       | BOOL               | 8    | 4    | =1, нова тривога попереджувального рівня                     |
| WRNNACK     | BOOL               | 8    | 5    | =1, є неквітовані попередження                               |
| BAD         | BOOL               | 8    | 6    | =1, є хоча б одна тривога недостовірності                    |
| NWBAD       | BOOL               | 8    | 7    | =1, нова тривога недостовірності                             |
| BADNACK     | BOOL               | 8    | 8    | =1, є неквітовані тривоги недостовірності                    |
| EMCYSTP     | BOOL               | 8    | 9    | =1, аварійний зупин (грибок)                                 |
| STP2RUN     | BOOL               | 8    | 10   | =1, момент переходу з аварійного зупину в роботу             |
| CON2ERR     | BOOL               | 8    | 11   | =1 - є помилка звязку з сусідні ПЛК в парі (для теплого резерування) |
| PLC2STOP    | BOOL               | 8    | 12   | =1 - спарений ПЛК в стопі (для теплого резерування)          |
| DIOERR      | BOOL               | 8    | 13   | =1 - є помилка DIO                                           |
| PLCERR      | BOOL               | 8    | 14   | =1 – є апаратна помилка (ПЛК)                                |
| CONHIERR    | BOOL               | 8    | 15   | =1 - є помилка звязку з верхним рівнем (ПЛК)                 |
| ALM2        | INT                | 9    |      | використовується за необхідності                             |
| STEP1       | INT                | 10   |      | крок основної програми                                       |
| T_STEP1     | INT                | 11   |      | час кроку основної програми обробки, в (с)                   |
| MSG         | UDINT              | 12   |      | для формування повідомлень, може бути як бітовим (32 повідомлення), так і числовим (за номером); передбачається, що повідомлення буде скидуватися в 0 автоматично через певний час (не менш ніж 2 інтервали опитування з HMI) |
| TQ          | UDINT              | 14   |      | загальний час з початку 1-го циклу контролера (в секундах)   |
| TQM         | UDINT              | 16   |      | загальний час роботи ПЛК з моменту пуску (в хвилинах), потребує збереження в Retentive |
| DICNT       | UINT               | 18   |      | кількість наявних каналів DI                                 |
| DOCNT       | UINT               | 19   |      | кількість наявних каналів DO                                 |
| AICNT       | UINT               | 20   |      | кількість наявних каналів AI                                 |
| AOCNT       | UINT               | 21   |      | кількість наявних каналів AO                                 |
| NOW         | ARRAY[0..3] of INT | 22   |      | плинний час астрономічний час в BCD форматі: NOW[0] seconds,-- (16#ss,--);NOW[1] hour, minute (16#hhmm);NOW[2] month, day (16#mmdd); NOW[3] year (16#yyyy) |
| SHIFTPARA   | ARRAY[0..3] of INT | 26   |      | Години передачі змін (2 або 3 зміни):SHIFT[0] – кількість змін; SHIFT[1] – передача 1-ї зміни (BCD 16#hhmm); SHIFT[2] – передача 2-ї зміни (BCD 16#hhmm); SHIFT[3] – передача 3-ї зміни (BCD 16#hhmm) |
| SHIFTNMB    | UINT               | 30   |      | номер активної зміни                                         |
| CNTALM      | UINT               | 31   |      | лічильник кількості активних тривог "аварія"                 |
| CNTWRN      | UINT               | 32   |      | лічильник кількості активних тривог "попередження"           |
| CNTBAD      | UINT               | 33   |      | лічильник кількості активних тривог "недостовірність"        |
| CNTFRC      | UINT               | 34   |      | лічильник кількості форсованих об'єктів                      |
| CNTMAN      | UINT               | 35   |      | лічильник кількості ВМ в ручному режимі                      |
| TSK_LTIME   | UINT               | 36   |      | плинний (останній) час задачі в мілісекундах                 |
| TSK_MAXTIME | UINT               | 37   |      | максимальний час задачі в мілісекундах                       |
| STA_PERM    | UINT               | 38   |      | повторює STA, який був на початку виклику функції            |
| ALM1_PERM   | UINT               | 39   |      | повторює ALM1, який був на початку виклику функції           |
| CNTALM_PERM | UINT               | 40   |      | кількість активних тривог "аварія"                           |
| CNTWRN_PERM | UINT               | 41   |      | кількість активних тривог "попередження"                     |
| CNTBAD_PERM | UINT               | 42   |      | кількість активних тривог "недостовірність"                  |
| CNTFRC_PERM | UINT               | 43   |      | кількість форсованих об'єктів                                |
| CNTMAN_PERM | UINT               | 44   |      | кількість ВМ в ручному режимі                                |
| MODULSCNT   | INT                | 45   |      | кількість модулів                                            |
| NOWns       | UDINT              | 46   |      | нс (наносекунди) для плинного астрономічного часу            |
| TQMS        | UDINT              | 48   |      | мілісекундний лічильник, скидається при старті або після переповнення |
